Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
gobelet,1,1,6600,78.65,0.62,http://www.atelierdugobelet.fr/fr/388-gobelets-reutilisable-25-cl-33cl,3102,11.83,1923.00,1,6350000,"[67,81,81,81,81,81,81,81,81,100,100,100]",1584630097,"Knowledge panel, Site links, Reviews"
gobelet personnalisé,1,1,6600,65.42,0.71,http://www.atelierdugobelet.fr/fr/,3102,11.83,2202.00,1,578000,"[44,55,67,82,100,100,100,82,67,44,36,82]",1584604774,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, FAQ"
atelier du gobelet,1,1,2900,77.23,0.65,http://www.atelierdugobelet.fr/fr/,2320,8.85,1508.00,0.3,9530000,"[43,66,66,100,82,82,55,66,66,55,36,66]",1584620640,"Knowledge panel, Image pack, Site links, Reviews, Video"
gobelet personnalisable,1,1,4400,64.51,0.83,http://www.atelierdugobelet.fr/fr/,2068,7.89,1716.00,1,413000,"[54,81,81,100,100,100,100,81,67,54,44,81]",1584626498,"Image pack, Site links, Reviews, Video, FAQ"
gobelet réutilisable,1,1,3600,70.24,0.74,http://www.atelierdugobelet.fr/fr/388-gobelets-reutilisable-25-cl-33cl,1692,6.45,1252.00,1,1170000,"[35,44,54,67,100,81,54,67,67,54,44,81]",1584607820,"Image pack, Site links, Reviews, Video Carousel"
l atelier du gobelet,1,1,1900,73.81,0.78,http://www.atelierdugobelet.fr/fr/,1520,5.8,1185.00,0.36,4640000,"[55,66,83,100,100,83,66,83,83,66,34,83]",1584415145,"Knowledge panel, Image pack, Site links, Reviews, AdWords top"
verre plastique personnalisé,1,2,1300,67.36,0.45,http://www.atelierdugobelet.fr/fr/,1040,3.96,468.00,1,2790000,"[46,46,46,68,100,100,100,84,46,38,38,53]",1584593966,"Image pack, Site links, Reviews, Video, AdWords top, AdWords bottom, Shopping ads"
gobelet plastique personnalisé,1,1,1000,68.15,0.58,http://www.atelierdugobelet.fr/fr/,800,3.05,464.00,1,332000,"[46,46,46,46,84,100,100,68,53,46,31,46]",1584651484,"Image pack, Site links, Reviews, FAQ"
porte gobelet,1,1,1600,81.48,0.26,http://www.atelierdugobelet.fr/fr/398-porte-gobelet,752,2.86,195.00,1,11100000,"[46,53,68,84,100,100,84,84,68,68,68,84]",1584511180,"Image pack, Reviews"
gobelets réutilisables personnalisés,1,1,720,61.21,0.73,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,576,2.19,420.00,1,58100,"[59,72,88,100,100,88,72,72,39,48,39,88]",1584180132,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
gobelet plastique,4,3,6600,79.21,0.41,http://www.atelierdugobelet.fr/fr/,462,1.76,189.00,1,20300000,"[30,45,45,45,55,55,55,82,67,67,67,100]",1584620170,"Image pack, Site links, Reviews, AdWords bottom"
gobelet reutilisable,1,1,880,68.82,0.90,http://www.atelierdugobelet.fr/fr/388-gobelets-reutilisable-25-cl-33cl,413,1.57,372.00,1,45400,"[48,72,88,100,100,88,72,88,88,72,59,100]",1584378714,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Video Carousel"
gobelet recyclable,1,1,720,64.35,0.43,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,338,1.28,145.00,1,298000,"[55,82,67,82,82,67,67,100,100,82,67,100]",1584489614,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
gobelet réutilisable 33cl,1,1,590,63.48,0.70,http://www.atelierdugobelet.fr/fr/388-gobelets-reutilisable-25-cl-33cl,277,1.05,194.00,1,85,"[36,67,67,82,100,67,55,55,55,44,36,67]",1584244841,"Image pack, Site links, Reviews, Video, AdWords bottom, Shopping ads"
gobelet plastique rigide,1,1,590,75.32,0.36,http://www.atelierdugobelet.fr/fr/,277,1.05,99.00,1,91,"[16,44,55,67,67,82,100,100,67,55,55,82]",1584249026,"Image pack, Site links, Reviews, Video, AdWords top"
verre reutilisable,1,1,590,69.46,0.52,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,277,1.05,144.00,1,5830000,"[36,55,55,82,82,82,67,82,67,67,55,100]",1584245415,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads"
gobelet réutilisable personnalisé,1,1,590,61.22,0.79,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,277,1.05,219.00,1,95400,"[44,82,82,67,82,100,82,82,82,82,54,82]",1584270166,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
gobelets réutilisables,2,2,1900,65.77,0.82,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,247,0.94,202.00,1,341000,"[34,83,83,83,83,66,55,66,55,55,45,100]",1584612302,"Image pack, Site links, Reviews, Video Carousel"
porte gobelet tour de cou,1,1,480,61.07,1.24,http://www.atelierdugobelet.fr/fr/398-porte-gobelet,225,0.85,279.00,1,372000,"[30,44,44,67,82,100,67,44,24,36,36,44]",1584220460,"Image pack, Site links, Reviews, Shopping ads"
verre plastique,2,2,1600,75.69,0.31,http://www.atelierdugobelet.fr/fr/,208,0.79,64.00,1,52700000,"[42,67,67,67,79,79,79,79,79,67,67,100]",1584183702,"Image pack, Site links, Reviews, Video, AdWords bottom, Shopping ads"
verre en plastique personnalisé,1,1,260,66.64,0.43,http://www.atelierdugobelet.fr/fr/,208,0.79,89.00,1,2560000,"[24,19,8,15,44,81,100,100,29,29,29,44]",1584615705,"Image pack, Site links, Reviews, AdWords top, Shopping ads, FAQ"
atelierdugobelet,1,1,260,75.59,0.55,http://www.atelierdugobelet.fr/fr/,208,0.79,114.00,0.34,58,"[36,54,54,100,100,67,67,67,54,44,36,67]",1584296963,"Knowledge panel, Image pack, Site links, Reviews, AdWords top"
gobelets recyclables,1,1,390,65.83,0.69,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,183,0.69,126.00,1,274000,"[54,54,81,81,81,100,81,54,100,100,81,54]",1584007617,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
verre plastique personnalisable,1,1,390,66.02,0.73,http://www.atelierdugobelet.fr/fr/,183,0.69,133.00,1,559000,"[44,36,44,66,100,100,81,100,81,66,54,36]",1583993293,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
gobelet réutilisable vierge,1,1,260,59.95,0.69,http://www.atelierdugobelet.fr/fr/gobelets-25cl/622-gobelet-vierge-25cl.html,122,0.46,84.00,1,58,"[28,28,54,54,67,100,100,82,67,67,67,44]",1583753408,"Image pack, Reviews, Shopping ads"
gobelet plastique personnalisable,1,1,260,65.5,0.90,http://www.atelierdugobelet.fr/fr/,122,0.46,109.00,1,94900,"[36,44,54,44,67,82,100,100,100,67,82,67]",1583890279,"Image pack, Site links, Reviews"
porte gobelet festival,1,1,260,64.6,0.56,http://www.atelierdugobelet.fr/fr/398-porte-gobelet,122,0.46,68.00,1,458000,"[15,19,29,29,54,100,100,54,44,19,24,29]",1583683144,"Image pack, Site links, Reviews, Video, AdWords bottom, Shopping ads"
gobelet plastique réutilisable,2,2,880,68.51,0.66,http://www.atelierdugobelet.fr/fr/,114,0.43,75.00,1,176000,"[72,88,72,100,100,100,100,100,72,59,72,100]",1584439411,"Image pack, Site links, Reviews"
gobelet reutilisable,2,2,880,68.82,0.90,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,114,0.43,102.00,1,45400,"[48,72,88,100,100,88,72,88,88,72,59,100]",1584378714,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Video Carousel"
