Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
cupkiller,1,1,4400,84.07,1.28,https://cupkiller.com/,3520,28.09,4505.00,0.29,44,"[36,55,67,100,100,82,67,67,67,55,36,82]",1584644374,"Knowledge panel, Image pack, Site links, Reviews, Video, AdWords top, Video Carousel"
gobelet,2,2,6600,78.65,0.62,https://cupkiller.com/,858,6.84,531.00,1,6350000,"[67,81,81,81,81,81,81,81,81,100,100,100]",1584630097,"Knowledge panel, Site links, Reviews"
gobelet personnalisé,2,2,6600,65.42,0.71,https://cupkiller.com/,858,6.84,609.00,1,578000,"[44,55,67,82,100,100,100,82,67,44,36,82]",1584604774,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, FAQ"
cup killer,1,1,1000,81.86,1.50,https://cupkiller.com/,800,6.38,1200.00,0.35,117000000,"[45,55,68,77,100,100,77,68,100,77,68,45]",1584072512,"Knowledge panel, Image pack, Site links, Reviews, Video, Image, AdWords top, Video Carousel"
gobelet personnalisable,2,2,4400,64.51,0.83,https://cupkiller.com/,572,4.56,474.00,1,413000,"[54,81,81,100,100,100,100,81,67,54,44,81]",1584626498,"Image pack, Site links, Reviews, Video, FAQ"
gobelet plastique réutilisable,1,1,880,68.51,0.66,https://cupkiller.com/,413,3.29,272.00,1,176000,"[72,88,72,100,100,100,100,100,72,59,72,100]",1584439411,"Image pack, Site links, Reviews"
gobelet réutilisable,3,2,3600,70.24,0.74,https://cupkiller.com/,324,2.58,239.00,1,1170000,"[35,44,54,67,100,81,54,67,67,54,44,81]",1584607820,"Image pack, Site links, Reviews, Video Carousel"
gobelet personnalisé anniversaire,1,1,590,56.33,0.48,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,277,2.21,133.00,1,99,"[39,48,48,72,100,88,88,88,48,39,32,59]",1584270204,"Image pack, Site links, Reviews"
verres personnalisés,1,1,480,67.27,0.57,https://cupkiller.com/,225,1.79,128.00,1,25700000,"[54,54,66,81,81,81,66,81,66,100,100,66]",1584288787,"Image pack, Site links, Reviews, Video Carousel, FAQ"
verre plastique réutilisable,1,1,480,66.57,0.53,https://cupkiller.com/,225,1.79,119.00,1,1060000,"[67,67,44,54,82,100,82,82,44,54,44,100]",1584270078,"Image pack, Site links, Reviews, Shopping ads"
gobelet personnalisé 33cl,1,1,390,59.5,0.61,https://cupkiller.com/,183,1.46,111.00,1,73,"[13,29,36,54,54,67,82,67,54,54,44,100]",1584158317,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads"
gobelet personnalisé ecole,1,3,390,63.75,0.69,https://cupkiller.com/fr/gobelet-preset/1241-gobelet-personnalise-25cl-fete-des-ecoles-enfants-qualite-photo.html,183,1.46,126.00,1,98,"[14,26,32,32,32,88,100,39,21,17,14,21]",1584593855,"Image pack, Site links, Reviews, Video"
ecocup,6,6,18100,71.76,0.81,https://cupkiller.com/,181,1.44,146.00,1,491000,"[45,67,67,82,100,82,67,82,82,67,67,82]",1584615556,"Knowledge panel, Image pack, Site links, Reviews, Tweet, AdWords top, AdWords bottom, Shopping ads, Video Carousel"
gobelets réutilisables,3,3,1900,65.77,0.82,https://cupkiller.com/,171,1.36,140.00,1,341000,"[34,83,83,83,83,66,55,66,55,55,45,100]",1584612302,"Image pack, Site links, Reviews, Video Carousel"
attention logo,6,6,2400,72.13,0.00,https://cupkiller.com/fr/actu/blog/attention-logo,120,0.95,0.00,0,1960000000,"[28,36,28,28,44,81,53,100,100,100,81,100]",1584502703,"Image pack, Reviews"
code promo cupkiller,1,1,140,76.86,6.46,https://cupkiller.com/promotions,112,0.89,723.00,0.3,0,"[15,27,65,81,100,81,54,35,42,42,35,19]",1583314194,"Image pack, Reviews"
verres plastiques personnalisés,1,1,210,65.06,0.88,https://cupkiller.com/,98,0.78,86.00,1,87800,"[28,54,28,28,67,100,82,44,54,67,54,36]",1583940834,"Image pack, Site links, Reviews, AdWords top"
gobelet réutilisable 33cl personnalisé,1,1,210,58.7,0.74,https://cupkiller.com/,98,0.78,73.00,1,75,"[0,7,10,15,19,29,24,36,36,29,44,100]",1584157480,"Image pack, Site links, Reviews, Shopping ads"
gobelet mariage,2,2,720,65.55,0.35,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,93,0.74,32.00,1,3640000,"[59,72,88,88,88,100,72,72,59,59,39,88]",1584328103,"Image pack, Site links, Reviews, Video Carousel"
gobelets personnalises,1,1,170,63.89,0.73,https://cupkiller.com/,79,0.63,58.00,1,20200,"[66,53,44,34,28,44,53,53,66,81,81,100]",1583998221,"Image pack, Site links, Reviews"
gobelet reutilisable,3,3,880,68.82,0.90,https://cupkiller.com/,79,0.63,71.00,1,45400,"[48,72,88,100,100,88,72,88,88,72,59,100]",1584378714,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Video Carousel"
gobelet réutilisable personnalisé,2,2,590,61.22,0.79,https://cupkiller.com/,76,0.6,60.00,1,95400,"[44,82,82,67,82,100,82,82,82,82,54,82]",1584270166,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
verre plastique,11,11,1600,75.69,0.31,https://cupkiller.com/,75,0.59,23.00,1,52700000,"[42,67,67,67,79,79,79,79,79,67,67,100]",1584183702,"Image pack, Site links, Reviews, Video, AdWords bottom, Shopping ads"
kup killer,1,1,90,54.98,1.78,https://cupkiller.com/,72,0.57,128.00,0.35,4470000,"[36,36,64,64,100,100,79,64,79,100,79,50]",1582863888,"Image pack, Site links, Reviews, Video, AdWords top, Video Carousel"
eco cup,6,7,6600,62.65,0.78,https://cupkiller.com/,66,0.52,51.00,1,282000000,"[36,55,55,67,82,82,67,100,82,82,67,82]",1584591259,"Knowledge panel, Site links, Reviews, Tweet, AdWords top, Shopping ads, Video Carousel"
gourde personnalisée prenom,1,1,140,66.7,0.42,https://cupkiller.com/fr/gourdes-thematiques/1335-gourde-personnalisee-prenom.html,65,0.51,27.00,1,624000,"[27,15,42,42,42,35,35,54,81,81,100,100]",1583423590,"Image pack, Reviews"
verre en plastique réutilisable,1,1,140,68.62,0.48,https://cupkiller.com/,65,0.51,31.00,1,1060000,"[22,22,28,53,100,53,53,34,34,28,28,34]",1584309603,"Image pack, Site links, Reviews"
gobelet personnalisé pas cher,2,2,480,67.05,0.70,https://cupkiller.com/,62,0.49,43.00,1,352000,"[36,44,67,82,82,100,67,36,30,44,36,55]",1584431966,"Image pack, Site links, Reviews, FAQ"
kupkiller,1,1,70,53.7,0.90,https://cupkiller.com/,56,0.44,50.00,0.26,38,"[4,4,8,15,4,4,4,100,81,100,4,42]",1582564108,"Knowledge panel, Image pack, Site links, Video, AdWords top"
gobelet réutilisable 33cl,3,3,590,63.48,0.70,https://cupkiller.com/,53,0.42,37.00,1,85,"[36,67,67,82,100,67,55,55,55,44,36,67]",1584244841,"Image pack, Site links, Reviews, Video, AdWords bottom, Shopping ads"
porte gobelet ceinture,1,1,110,64.74,0.31,https://cupkiller.com/fr/accessoires/298-porte-gobelet-porte-ceinture.html,51,0.4,16.00,1,689000,"[13,22,22,34,100,53,28,22,34,34,22,22]",1584260234,"Image pack, Reviews, Shopping ads"
verre réutilisable personnalisé,1,1,110,62.36,0.86,https://cupkiller.com/,51,0.4,44.00,1,899000,"[14,24,67,81,100,52,33,24,43,67,67,24]",1583633290,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
verre plastique personnalisé unité,2,2,390,59.79,0.40,https://cupkiller.com/,50,0.39,20.00,1,2590000,"[26,26,32,32,48,59,100,48,26,21,17,21]",1584633669,"Image pack, Site links, Reviews, Video, AdWords bottom, Shopping ads"
porte gobelet tour de cou,3,3,480,61.07,1.24,https://cupkiller.com/fr/accessoires/296-porte-gobelets-tour-de-cou.html,43,0.34,53.00,1,372000,"[30,44,44,67,82,100,67,44,24,36,36,44]",1584220460,"Image pack, Site links, Reviews, Shopping ads"
cup gobelet,1,1,90,53.5,0.38,https://cupkiller.com/,42,0.33,16.00,1,1770000,"[11,11,11,100,11,11,11,11,22,22,22,11]",1582745923,"Image pack, Site links, Reviews, Shopping ads, Video Carousel"
verre gobelet personnalisé,1,1,90,65.15,0.58,https://cupkiller.com/,42,0.33,24.00,1,987000,"[14,100,14,29,14,14,14,14,14,14,57,14]",1583970362,"Image pack, Site links, Reviews, Video, AdWords top"
gobelet personnalisé mariage,2,2,1600,64.17,0.46,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,41,0.32,19.00,1,61,"[54,67,67,79,79,100,67,54,54,37,37,79]",1584439205,"Image pack, Site links, Reviews"
verre reutilisable,4,4,590,69.46,0.52,https://cupkiller.com/,41,0.32,21.00,1,5830000,"[36,55,55,82,82,82,67,82,67,67,55,100]",1584245415,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads"
cupkiller mariage,1,1,50,72.86,0.99,https://cupkiller.com/fr/143-mariage,40,0.31,39.00,0.26,31,"[0,0,0,11,22,11,11,11,11,100,11,11]",1583694301,"Local pack, Image pack, Reviews, AdWords top"
verre personnalisé,5,5,3600,68.24,0.42,https://cupkiller.com/,36,0.28,15.00,1,14400000,"[29,29,29,44,55,44,44,55,44,82,100,44]",1584626399,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads, Video Carousel"
verre plastique personnalisable,3,3,390,66.02,0.73,https://cupkiller.com/,35,0.27,25.00,1,559000,"[44,36,44,66,100,100,81,100,81,66,54,36]",1583993293,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
