eco30;digital-personnalises;10;https://wobz.fr/gobelet-personnalise-mariage-ceremonie.html
eco10;serigraphie 1 couleur;15;https://wobz.fr/gobelet-personnalise-10-cl-serigraphie-1-couleur.html
eco10;IML;30;https://wobz.fr/gobelet-personnalise-10-cl-iml.html
eco12;serigraphie 1 couleur;15;https://wobz.fr/gobelet-personnalise-translucide-12cl-serigraphie-1-couleur.html
eco12;IML;30;https://wobz.fr/gobelet-personnalise-12cl-translucide-iml.html
eco25;digital;10;https://wobz.fr/gobelet-personnalise-rouge-25cl-qualite-photo.html
eco25;serigraphie 2 couleurs;15;https://wobz.fr/gobelet-personnalise-25cl-impression-serigraphie-2-couleurs.html
eco25;IML;30;https://wobz.fr/gobelet-personnalise-25-cl-iml.html
eco33;Digital 7cm;10;https://wobz.fr/gobelet-personnalise-33cl-qualite-photo-impression-7cm.html
eco33;Digital 12cm;10;https://wobz.fr/gobelet-personnalise-33cl-qualite-photo-impression-12-6cm.html
eco33;serigraphie 1 couleur;15;https://wobz.fr/gobelet-personnalise-translucide-33cl-serigraphie-1-couleur.html
eco33;serigraphie 2 couleurs;15;https://wobz.fr/gobelet-personnalise-translucide-33cl-serigraphie-2-couleurs.html
eco60;Digital 7cm;4;https://wobz.fr/gobelet-personnalise-50cl-qualite-photo-impression-7cm.html
eco60;Digital 14cm;15;https://wobz.fr/gobelet-personnalise-qualite-photo-50cl-impression-14cm.html
eco60;serigraphie 1 couleur;15;https://wobz.fr/gobelet-personnalise-translucide-50cl-serigraphie-1-couleur.html
eco60;serigraphie 2 couleurs;15;https://wobz.fr/gobelet-personnalise-translucide-50cl-serigraphie-2-couleurs.html
eco60;IML;30;https://wobz.fr/gobelet-personnalise-50-cl-iml.html
