Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
wobz,1,1,110,72.29,0.00,https://wobz.fr/,88,44.67,0.00,0,91,"[53,53,65,65,82,100,53,53,53,53,53,100]",1584410539,"Knowledge panel, Image pack, Site links, Reviews, AdWords top, Video Carousel"
gobelet personnalisé,17,14,6600,65.42,0.71,https://wobz.fr/,26,13.19,18.00,1,578000,"[44,55,67,82,100,100,100,82,67,44,36,82]",1584604774,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, FAQ"
gobelet personnalisable,20,21,4400,64.51,0.83,https://wobz.fr/,13,6.59,10.00,1,413000,"[54,81,81,100,100,100,100,81,67,54,44,81]",1584626498,"Image pack, Site links, Reviews, Video, FAQ"
gobelet personnalisé 33cl,10,10,390,59.5,0.61,https://wobz.fr/gobelet-personnalise-33cl-qualite-photo-impression-7cm.html,11,5.58,7.00,1,73,"[13,29,36,54,54,67,82,67,54,54,44,100]",1584158317,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads"
dalvin,4,4,720,81.99,0.00,https://wobz.fr/,10,5.07,0.00,0,1850000,"[39,59,59,72,72,88,48,88,88,72,59,100]",1584315158,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel"
gobelet mariage,12,12,720,65.55,0.35,https://wobz.fr/gobelet-personnalise-mariage-car.html,9,4.56,3.00,1,3640000,"[59,72,88,88,88,100,72,72,59,59,39,88]",1584328103,"Image pack, Site links, Reviews, Video Carousel"
gobelet mariage,13,13,720,65.55,0.35,https://wobz.fr/gobelets-thematiques/mariage.html,6,3.04,2.00,1,3640000,"[59,72,88,88,88,100,72,72,59,59,39,88]",1584328103,"Image pack, Site links, Reviews, Video Carousel"
gobelet personnalisé mariage,12,12,1600,64.17,0.46,https://wobz.fr/gobelet-personnalise-mariage-car.html,4,2.03,1.00,1,61,"[54,67,67,79,79,100,67,54,54,37,37,79]",1584439205,"Image pack, Site links, Reviews"
gobelet personnalisé 33cl,13,13,390,59.5,0.61,https://wobz.fr/gobelet-personnalise-33cl-qualite-photo-impression-12-6cm.html,3,1.52,2.00,1,73,"[13,29,36,54,54,67,82,67,54,54,44,100]",1584158317,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads"
porte gobelet ceinture,10,10,110,64.74,0.31,https://wobz.fr/porte-gobelet-a-accroche-ceinture.html,3,1.52,1.00,1,689000,"[13,22,22,34,100,53,28,22,34,34,22,22]",1584260234,"Image pack, Reviews, Shopping ads"
gobelet personnalisé pour mariage,12,12,260,61.76,0.46,https://wobz.fr/gobelet-personnalise-mariage-car.html,3,1.52,1.00,1,94,"[13,24,19,36,36,36,29,44,44,36,36,100]",1584248397,"Image pack, Site links, Reviews, Video"
gobelet personnalisé anniversaire,17,17,590,56.33,0.48,https://wobz.fr/gobelet-anniversaire-cheers.html,2,1.01,1.00,1,99,"[39,48,48,72,100,88,88,88,48,39,32,59]",1584270204,"Image pack, Site links, Reviews"
gobelet personnalisé pour mariage,13,13,260,61.76,0.46,https://wobz.fr/gobelet-personnalise-mariage-arrows-heart.html,2,1.01,1.00,1,94,"[13,24,19,36,36,36,29,44,44,36,36,100]",1584248397,"Image pack, Site links, Reviews, Video"
gobelet plastique personnalisé mariage,13,13,260,65.45,0.47,https://wobz.fr/gobelet-personnalise-mariage-car.html,2,1.01,1.00,1,83,"[67,82,82,67,82,100,67,67,54,44,36,82]",1584547344,"Image pack, Site links, Reviews, Shopping ads, FAQ"
verre mojito,30,15,1300,85.55,0.17,https://wobz.fr/verre-mojito-personnalise-blanc.html,1,0.5,0.00,1,955000,"[25,25,37,54,79,100,100,54,37,54,67,37]",1584615574,"Image pack, Reviews, Image"
gobelet incassable personnalisé,8,8,50,59.92,0.94,https://wobz.fr/,1,0.5,1.00,1,73,"[50,100,100,100,0,0,50,50,100,100,50,50]",1583962103,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads"
gobelet personnalisé mariage champetre,15,15,260,70.38,0.65,https://wobz.fr/gobelet-personnalise-mariage-en-couronne-de-fleurs.html,1,0.5,0.00,1,45,"[3,12,12,36,66,66,54,44,44,29,36,100]",1584385935,"Image pack, Reviews, AdWords top, AdWords bottom"
